Date,Category,Amount,Type,Month,Weekday
2024-01-01,Shopping,960,Expense,January,Monday
2024-01-02,Bills,3192,Expense,January,Tuesday
2024-01-02,Rent,4526,Expense,January,Tuesday
2024-01-03,Shopping,3019,Expense,January,Wednesday
2024-01-04,Bills,869,Expense,January,Thursday
2024-01-04,Entertainment,2533,Expense,January,Thursday
2024-01-05,Food,4655,Expense,January,Friday
2024-01-06,Shopping,3004,Expense,January,Saturday
2024-01-07,Travel,2147,Expense,January,Sunday
2024-01-08,Entertainment,2834,Expense,January,Monday
2024-01-08,Shopping,1367,Expense,January,Monday
2024-01-09,Bills,3990,Expense,January,Tuesday
2024-01-10,Salary,30253,Income,January,Wednesday
2024-01-11,Travel,2924,Expense,January,Thursday
2024-01-11,Travel,1463,Expense,January,Thursday
2024-01-12,Shopping,2656,Expense,January,Friday
2024-01-12,Rent,3252,Expense,January,Friday
2024-01-13,Shopping,3173,Expense,January,Saturday
2024-01-13,Entertainment,3943,Expense,January,Saturday
2024-01-14,Travel,261,Expense,January,Sunday
2024-01-15,Entertainment,3442,Expense,January,Monday
2024-01-15,Salary,44276,Income,January,Monday
2024-01-16,Bills,437,Expense,January,Tuesday
2024-01-16,Travel,4959,Expense,January,Tuesday
2024-01-17,Food,2162,Expense,January,Wednesday
2024-01-18,Food,2127,Expense,January,Thursday
2024-01-19,Rent,491,Expense,January,Friday
2024-01-20,Rent,3661,Expense,January,Saturday
2024-01-21,Shopping,300,Expense,January,Sunday
2024-01-22,Food,4698,Expense,January,Monday
2024-01-22,Bills,2831,Expense,January,Monday
2024-01-23,Rent,2790,Expense,January,Tuesday
2024-01-24,Entertainment,970,Expense,January,Wednesday
2024-01-24,Travel,1584,Expense,January,Wednesday
2024-01-25,Food,663,Expense,January,Thursday
2024-01-25,Shopping,1857,Expense,January,Thursday
2024-01-26,Bills,1778,Expense,January,Friday
2024-01-27,Bills,1822,Expense,January,Saturday
2024-01-27,Shopping,2725,Expense,January,Saturday
2024-01-28,Food,3160,Expense,January,Sunday
2024-01-28,Shopping,3727,Expense,January,Sunday
2024-01-29,Rent,1763,Expense,January,Monday
2024-01-29,Salary,21306,Income,January,Monday
2024-01-30,Food,2775,Expense,January,Tuesday
2024-01-30,Rent,809,Expense,January,Tuesday
2024-01-31,Entertainment,3848,Expense,January,Wednesday
2024-02-01,Salary,48021,Income,February,Thursday
2024-02-01,Food,3863,Expense,February,Thursday
2024-02-02,Travel,4759,Expense,February,Friday
2024-02-03,Travel,1736,Expense,February,Saturday
2024-02-04,Salary,34555,Income,February,Sunday
